Date,Open,High,Low,Close,Volume
2004-08-19,100.01,104.06,95.96,2.50401600023898,44659000
2004-08-20,101.01,109.08,100.5,2.70304453068106,22834300
2004-08-23,110.76,113.48,109.05,2.73024717622111,18256100
2004-08-24,111.24,111.6,103.57,2.6171939796189,15247300
2004-08-25,104.76,108.0,103.88,2.6453948873806,9188600
2004-08-26,104.95,107.95,104.66,2.69306190846453,7094800
2004-08-27,108.1,108.62,105.69,2.6491383707118,6211700
2004-08-30,105.28,105.49,102.01,2.54581823077071,5196700
2004-08-31,102.32,103.71,102.16,2.55480259076558,4917800
2004-09-01,102.7,102.97,99.67,2.50189469301797,9138200
2004-09-02,99.09,102.37,98.94,2.53333995300004,15118600
2004-09-03,100.95,101.74,99.32,2.49590511968805,5152400
2004-09-07,101.01,102.0,99.61,2.53508691188794,5847500
2004-09-08,100.74,103.03,100.5,2.55305563187769,4985600
2004-09-09,102.5,102.71,101.0,2.5533051974331,4061700
2004-09-10,101.47,106.56,101.3,2.62867399516791,8698800
2004-09-13,106.63,108.41,106.46,2.68282972069259,7844100
2004-09-14,107.44,112.0,106.79,2.78240637730248,10828900
2004-09-15,110.56,114.23,110.2,2.79513422062856,10713000
2004-09-16,112.34,115.8,111.65,2.84429863504497,9266300
2004-09-17,114.42,117.49,113.55,2.93214571055044,9472500
2004-09-20,116.95,121.6,116.77,2.97881446941272,10628700
2004-09-21,120.2,120.42,117.51,2.9408805049899,7228700
2004-09-22,117.45,119.67,116.81,2.95435704498222,7581200
2004-09-23,118.84,122.63,117.02,3.01525104050306,8535600
2004-09-24,120.97,124.1,119.76,2.99054405051714,9123400
2004-09-27,119.56,120.88,117.8,2.95136225831726,7066100
2004-09-28,121.15,127.4,120.21,3.16598863597267,16929000
2004-09-29,126.53,135.02,126.23,3.27130530035706,30516400
2004-09-30,129.899,132.3,129.0,3.2343695981559,13758000
2004-10-01,130.8,134.24,128.9,3.30874013366905,15124800
2004-10-04,135.275,136.87,134.03,3.37063239141154,13022700
2004-10-05,134.66,138.53,132.24,3.45323859025333,14973200
2004-10-06,137.67,138.45,136.0,3.42104463360502,13381400
2004-10-07,136.56,139.88,136.55,3.46521773691317,14115000
2004-10-08,138.73,139.68,137.02,3.43726639470688,11069500
2004-10-11,137.01,138.86,133.85,3.37562370251981,10472100
2004-10-12,134.49,137.61,133.4,3.42903073137825,11665500
2004-10-13,143.24,143.55,140.08,3.51637867577289,19766200
2004-10-14,141.02,142.38,138.56,3.54383088686835,10442100
2004-10-15,144.95,145.5,141.95,3.59648921906055,13194700
2004-10-18,143.12,149.2,141.21,3.72251982454425,14036300
2004-10-19,150.5,152.4,147.35,3.69207282678383,18109800
2004-10-20,147.94,148.99,139.6,3.50614648800095,22722600
2004-10-21,144.13,150.13,141.62,3.72801026676334,29149800
2004-10-22,170.435,180.17,164.08,4.30325887199091,73710000
2004-10-25,176.28,194.43,172.55,4.67685850844457,65462800
2004-10-26,186.449,192.64,180.0,4.53710179741314,44569500
2004-10-27,182.509,189.52,181.77,4.64117063402047,26686200
2004-10-28,186.63,194.39,185.6,4.82410218613839,29663900
2004-10-29,198.87,199.95,190.6,4.75771774839846,42282600
2004-11-01,193.5,197.67,191.27,4.89223358276621,24425300
2004-11-02,198.73,199.25,193.34,4.86328397833828,22669900
2004-11-03,198.19,201.6,190.75,4.78342300060603,27749600
2004-11-04,188.25,190.4,183.35,4.60947580848299,28790300
2004-11-05,182.0,182.3,168.55,4.22639268092363,39626500
2004-11-08,170.86,175.44,169.4,4.30625365865587,22361200
2004-11-09,174.1,175.2,165.27,4.21017091982176,22106200
2004-11-10,170.67,172.52,166.33,4.18920741316705,21266700
2004-11-11,169.32,183.75,167.57,4.56754879517356,29941000
2004-11-12,185.23,189.8,177.4,4.5420931085214,33458700
2004-11-15,180.45,188.32,178.75,4.61371842292501,23779100
2004-11-16,174.39,179.47,170.83,4.30612887587816,41792900
2004-11-17,169.02,177.5,169.0,4.3050058308788,36229500
2004-11-18,170.4,174.42,165.73,4.18122131539382,33225900
2004-11-19,169.06,169.98,166.52,4.22764050870069,17521000
2004-11-22,168.6,169.5,161.31,4.12032731987299,24711600
2004-11-23,167.915,170.83,166.5,4.180722184283,24801700
2004-11-24,174.84,177.21,172.51,4.3614076464022,30531400
2004-11-26,175.8,180.03,175.32,4.47695649855854,12947200
2004-11-29,180.255,182.95,177.51,4.51838438075715,21311800
2004-11-30,180.7,183.0,180.25,4.54159397741058,15384600
2004-12-01,181.77,182.5,179.55,4.4911817352171,15712400
2004-12-02,179.9,181.51,178.55,4.47720606411396,12509200
2004-12-03,180.0,181.06,177.6,4.50216261965528,11726600
2004-12-06,179.13,180.7,176.02,4.39959117638043,12495400
2004-12-07,176.0,176.2,170.55,4.27830231644958,13728000
2004-12-08,170.57,173.68,168.73,4.24211531091466,15068500
2004-12-09,170.25,173.5,168.47,4.32821542753224,15292600
2004-12-10,173.43,174.88,171.29,4.28379275866868,8625700
2004-12-13,172.03,173.18,169.45,4.25384489201908,9627500
2004-12-14,171.0,178.82,169.6,4.45948690967961,22154600
2004-12-15,177.99,180.69,176.66,4.48668955521966,22919000
2004-12-16,177.22,180.49,175.95,4.40408335637787,17128400
2004-12-17,176.76,180.5,176.55,4.49417652188206,14757600
2004-12-20,182.0,188.46,181.87,4.61746190625621,19649300
2004-12-21,186.28,187.88,183.4,4.58576708071873,11021500
2004-12-22,183.9,186.85,183.01,4.64940629734911,7806100
2004-12-23,187.45,188.6,186.0,4.68933678621523,7221900
2004-12-27,189.43,193.3,189.1,4.78941257393595,12195900
2004-12-28,192.11,193.55,191.01,4.81062564614608,8283300
2004-12-29,191.97,193.52,191.78,4.81411956392186,5350800
2004-12-30,192.97,198.23,191.85,4.9314153749661,11796700
2004-12-31,199.23,199.88,192.56,4.81137434281232,15321600
2005-01-03,197.4,203.64,195.46,5.05894337378227,31656700
2005-01-04,201.33,202.93,193.48,4.85405005278798,27484200
