Date,Open,High,Low,Close,Volume
2000-05-26,91.06,91.44,90.63,33.0597279440007,37400
2000-05-30,92.75,94.81,92.75,34.2781365526105,28800
2000-05-31,95.13,96.38,95.13,34.617989398929,18000
2000-06-01,97.11,97.31,97.11,35.1820005055852,3500
2000-06-02,101.7,102.4,101.7,37.0222675138416,14700
2000-06-05,102.1,103.1,101.9,36.8776492813656,24200
2000-06-06,103.6,104.8,102.7,37.2391948625555,75900
2000-06-07,102.4,103.1,101.4,37.2753494206745,65500
2000-06-08,104.3,104.3,102.9,37.2030403044365,45700
2000-06-09,103.9,104.7,103.8,37.8538223505783,20800
2000-06-12,105.0,105.0,101.5,36.7330310488897,42600
2000-06-13,101.3,102.9,100.4,37.2030403044365,84100
2000-06-14,103.7,103.7,102.4,37.0222675138416,21600
2000-06-15,101.8,102.5,100.8,37.0584220719606,13400
2000-06-16,102.9,103.0,101.9,36.8414947232467,15100
2000-06-19,102.5,104.5,102.0,37.7815132343403,29600
2000-06-20,104.7,105.3,104.3,38.0345951411732,23500
2000-06-21,104.3,105.9,104.3,38.2370245120814,33400
2000-06-22,106.0,106.0,102.5,37.0794230131347,69800
2000-06-23,103.5,103.5,101.0,36.8261976852402,117900
2000-06-26,102.2,103.1,101.8,37.2964732941872,46800
2000-06-27,103.2,104.1,101.4,36.6814974978718,56400
2000-06-28,101.9,104.4,101.9,37.622048715766,85300
2000-06-29,103.5,103.7,102.1,37.0432479662927,106100
2000-06-30,102.4,103.4,101.6,37.4049984347135,585900
2000-07-03,103.1,104.8,103.0,37.9114490905026,7900
2000-07-05,104.2,104.3,103.3,37.4773485283976,69400
2000-07-06,103.7,104.8,102.7,37.9114490905026,77300
2000-07-07,104.9,105.9,104.9,38.1646744183972,35900
2000-07-10,105.4,106.6,105.4,38.4178997462918,22400
2000-07-11,106.0,106.6,105.7,38.3817246994497,126600
2000-07-12,106.6,108.2,106.5,39.1414006831335,22600
2000-07-13,108.3,108.5,108.0,39.2499258236597,51300
2000-07-14,109.1,109.1,107.8,39.2861008705018,27400
2000-07-17,108.7,109.2,108.4,39.4308010578701,23300
2000-07-18,108.3,108.3,107.1,38.7434751678705,117700
2000-07-19,106.8,106.8,105.3,38.0923243247131,17700
2000-07-20,106.3,107.0,106.3,38.7073001210285,75200
2000-07-21,106.4,106.4,104.1,37.6582237626081,75300
2000-07-24,104.6,104.6,102.3,37.0794230131347,18500
2000-07-25,103.4,103.4,102.1,37.187948153661,18400
2000-07-26,102.0,102.6,100.9,37.1155980599768,7900
2000-07-27,102.4,102.4,99.75,36.0846092249775,137500
2000-07-28,100.3,100.3,97.75,35.451545905241,85800
2000-07-31,98.5,100.5,97.38,36.3559220762931,83200
2000-08-01,99.75,100.1,99.28,36.1171667671353,131700
2000-08-02,99.25,100.6,99.0,36.1750468420827,194300
2000-08-03,98.06,100.1,98.06,36.1533418139774,542100
2000-08-04,101.1,101.2,99.84,36.319747029451,285200
2000-08-07,100.8,102.3,100.8,37.0070729194506,44100
2000-08-08,102.0,102.3,101.8,36.8261976852402,24800
2000-08-09,102.6,102.6,101.1,36.5729723573456,11500
