Date,Open,High,Low,Close,Volume
1999-11-01,93.25,94.19,92.12,28.3720973859316,26630600
1999-11-02,92.75,94.5,91.94,28.4304572268251,23174500
1999-11-03,92.94,93.5,91.5,28.2584492747181,22258500
1999-11-04,92.31,92.75,90.31,28.1816600103846,27119700
1999-11-05,91.81,92.87,90.5,28.1233001694912,35083700
1999-11-08,84.81,90.75,84.37,27.6257057366103,121909600
1999-11-09,89.75,89.87,86.44,27.297047685263,54884900
1999-11-10,88.12,89.12,86.44,26.7595228349287,34692700
1999-11-11,88.25,90.44,88.25,27.5274154782634,34637300
1999-11-12,89.75,90.0,87.06,27.3953379436098,24707100
1999-11-15,88.25,88.5,86.94,26.7226639880486,23540200
1999-11-16,86.94,87.75,85.87,26.8178826758221,29582600
1999-11-17,86.44,87.06,85.0,26.1083498733808,33409500
1999-11-18,84.94,85.81,84.5,26.0899204499408,32246600
1999-11-19,84.44,86.56,84.37,26.4155069307147,29113000
1999-11-22,89.62,90.37,88.44,27.5857753191569,45298300
1999-11-23,89.25,91.37,88.37,27.5274154782634,35393700
1999-11-24,89.56,92.25,89.5,28.1632305869446,26885500
1999-11-26,91.62,93.37,91.0,27.9881510642643,14257100
1999-11-29,90.12,92.06,89.5,27.7024950009437,25730100
1999-11-30,89.75,92.87,89.56,27.9666500702509,32072800
1999-12-01,91.06,93.94,90.87,28.6239661729454,24432100
1999-12-02,93.06,95.25,92.87,29.1215606058263,27736900
1999-12-03,95.81,97.12,95.73,29.5239363509337,32050300
1999-12-06,95.25,97.19,94.75,29.3150695519467,24549100
1999-12-07,94.75,94.87,92.87,28.565606332052,28429600
1999-12-08,93.12,94.31,91.69,28.1816600103846,20477900
1999-12-09,92.0,93.31,91.44,28.4888170677185,23129100
1999-12-10,93.37,94.12,92.25,28.8328329719325,18418000
1999-12-13,93.61,96.94,92.75,29.6775148796007,26345800
1999-12-14,96.19,101.12,95.31,30.3133299882818,72058100
1999-12-15,98.56,108.75,98.5,33.3081112972873,77785800
1999-12-16,109.25,115.0,108.94,34.9206858482902,64330100
1999-12-17,116.62,117.12,113.62,35.3998508577311,52949400
1999-12-20,114.81,115.0,111.19,34.6319582143963,19716900
1999-12-21,112.37,116.62,110.62,35.5902882332781,28723000
1999-12-22,116.3,118.0,115.12,36.1093836601724,19282600
1999-12-23,117.25,119.25,116.75,36.0725248132923,15514200
1999-12-27,118.44,119.25,116.12,36.5885486696132,16101100
1999-12-28,118.75,118.81,117.06,36.0909542367323,12295500
