Date,Open,High,Low,Close,Volume
2002-07-26,81.28,81.37,81.24,53.8222532755958,246200
2002-07-29,81.22,81.22,81.04,53.6435297682239,40200
2002-07-30,81.12,81.13,81.0,53.6236716007381,95300
2002-07-31,81.17,81.31,81.15,53.7891563297862,38800
2002-08-01,81.33,81.45,81.33,53.895066556377,86800
2002-08-02,81.46,81.64,81.4,54.0009767829677,83400
2002-08-05,81.63,81.73,81.57,54.0870288420727,93100
2002-08-06,81.55,81.61,81.45,53.9546410588343,58200
2002-08-07,81.59,81.69,81.54,54.0340737287774,127000
2002-08-08,81.61,81.62,81.47,53.9546410588343,111800
2002-08-09,81.48,81.56,81.46,53.9678798371581,50900
2002-08-12,81.51,81.57,81.47,53.9612604479962,52300
2002-08-13,81.59,81.68,81.48,54.0539318962631,36200
2002-08-14,81.69,81.71,81.46,53.9347828913485,108700
2002-08-15,81.38,81.54,81.3,53.8884471672151,87700
2002-08-16,81.54,81.55,81.31,53.8553502214054,274500
2002-08-19,81.41,81.43,81.31,53.8619696105674,36000
2002-08-20,81.51,81.57,81.46,53.9877380046439,51400
2002-08-21,81.46,81.54,81.42,53.9414022805104,43100
2002-08-22,81.5,81.5,81.38,53.8818277780531,47700
2002-08-23,81.48,81.52,81.44,53.9480216696724,60900
2002-08-26,81.49,81.55,81.45,53.9414022805104,49700
2002-08-27,81.4,81.45,81.35,53.9016859455389,54700
2002-08-28,81.51,81.53,81.46,53.9414022805104,50600
2002-08-29,81.64,81.64,81.55,54.0009767829677,53700
2002-08-30,81.63,81.63,81.52,54.0208349504535,143800
2002-09-03,81.62,81.78,81.61,54.1483243857122,83000
2002-09-04,81.67,81.73,81.6,54.1284339763627,49500
2002-09-05,81.69,81.73,81.64,54.1881052044111,49000
2002-09-06,81.55,81.61,81.53,54.0820230212139,33700
2002-09-09,81.52,81.57,81.45,54.0090915202658,65200
2002-09-10,81.44,81.54,81.42,54.042242202515,51000
2002-09-11,81.4,81.46,81.36,54.0090915202658,24700
2002-09-12,81.48,81.55,81.46,54.0488723389648,50100
2002-09-13,81.55,81.59,81.52,54.0886531576637,95100
2002-09-16,81.61,81.61,81.54,54.0687627483143,39000
2002-09-17,81.52,81.62,81.48,54.1085435670132,28800
2002-09-18,81.7,81.7,81.6,54.1019134305634,173700
2002-09-19,81.76,81.77,81.66,54.2146257502104,191100
2002-09-20,81.74,81.79,81.7,54.2212558866602,360800
2002-09-23,81.82,81.85,81.75,54.2345161595599,263600
2002-09-24,81.87,81.94,81.78,54.2610367053592,659400
2002-09-25,81.79,81.83,81.7,54.2079956137606,240400
2002-09-26,81.76,81.82,81.69,54.22788602311,81100
2002-09-27,81.85,81.96,81.81,54.340598342757,136200
2002-09-30,82.03,82.13,82.0,54.4201599801549,216900
2002-10-01,81.91,82.0,81.84,54.3537260129277,94100
2002-10-02,81.89,81.95,81.83,54.4002048893131,79400
2002-10-03,81.9,81.97,81.8,54.4068447287967,196500
2002-10-04,81.77,81.93,81.76,54.3603658524113,205600
2002-10-07,81.97,81.97,81.88,54.4267642472475,171600
2002-10-08,81.85,82.0,81.85,54.3736455313786,167100
2002-10-09,81.99,82.06,81.92,54.4865228026001,332800
2002-10-10,82.03,82.08,81.93,54.4334040867312,166200
2002-10-11,81.95,81.95,81.8,54.3470861734441,407000
2002-10-14,81.82,81.88,81.82,54.3603658524113,54500
2002-10-15,81.67,81.7,81.54,54.154530828419,100800
2002-10-16,81.65,81.67,81.55,54.1744503468699,51300
2002-10-17,81.52,81.57,81.48,54.1279714704846,239200
2002-10-18,81.49,81.59,81.41,54.1744503468699,100600
2002-10-21,81.56,81.57,81.37,54.0549332361647,595800
2002-10-22,81.47,81.48,81.37,54.0482933966811,325800
2002-10-23,81.5,81.58,81.43,54.0881324335828,126700
2002-10-24,81.51,81.64,81.5,54.1810901863535,69400
2002-10-25,81.71,81.78,81.66,54.2740479391242,56000
2002-10-28,81.89,81.9,81.83,54.3470861734441,31100
2002-10-29,81.94,82.09,81.93,54.4666032841493,25000
2002-10-30,82.01,82.1,81.97,54.4599634446656,28800
2002-10-31,82.03,82.17,81.99,54.5529211974363,153700
2002-11-01,81.97,82.02,81.86,54.495088195534,50300
2002-11-04,81.85,81.9,81.83,54.4418833254383,255200
2002-11-05,81.89,81.89,81.78,54.4352327166763,342100
2002-11-06,81.84,81.99,81.8,54.4551845429622,176100
2002-11-07,81.9,81.92,81.84,54.4817869780101,39900
2002-11-08,81.86,81.91,81.83,54.4618351517242,27800
2002-11-11,81.87,81.97,81.86,54.5150400218199,83800
2002-11-12,81.94,82.0,81.93,54.5283412393438,50300
2002-11-13,81.94,82.04,81.94,54.5349918481058,46400
2002-11-14,81.94,81.94,81.8,54.4019796728665,30900
2002-11-15,81.8,81.84,81.75,54.4285821079144,27500
2002-11-18,81.8,81.86,81.77,54.4285821079144,27300
2002-11-19,81.85,81.86,81.78,54.4152808903904,22400
2002-11-20,81.88,81.88,81.7,54.3687266290567,19400
2002-11-21,81.68,81.72,81.63,54.2955699326751,72500
2002-11-22,81.66,81.68,81.61,54.2756181063892,43400
2002-11-25,81.62,81.71,81.61,54.308871150199,49100
2002-11-26,81.72,81.82,81.69,54.4086302816285,28500
2002-11-27,81.73,81.73,81.61,54.315521758961,542100
2002-11-29,81.72,81.72,81.67,54.3421241940088,69100
2002-12-02,81.5,81.64,81.42,54.3624085507328,74100
2002-12-03,81.66,81.66,81.58,54.382389832974,88900
2002-12-04,81.71,81.75,81.62,54.4156919700425,220000
2002-12-05,81.67,81.79,81.63,54.4623149619385,122300
2002-12-06,81.91,81.91,81.78,54.5155983812482,470600
2002-12-09,81.9,81.92,81.84,54.5289192360757,83500
2002-12-10,81.9,81.91,81.82,54.522258808662,32500
2002-12-11,81.89,81.96,81.88,54.568881800558,108700
2002-12-12,81.88,82.0,81.87,54.5888630827991,41200
2002-12-13,81.92,81.96,81.88,54.5489005183168,91600
2002-12-16,81.93,81.93,81.83,54.522258808662,36500
2002-12-17,81.92,81.94,81.87,54.5755422279717,47200
2002-12-18,82.03,82.07,81.99,54.66212778435,275400
2002-12-19,82.06,82.16,82.04,54.7220716310734,419200
2002-12-20,82.12,82.15,82.07,54.6954299214185,46800
2002-12-23,82.11,82.13,82.07,54.7020903488322,49100
2002-12-24,82.24,82.25,82.2,54.7620341955557,73300
2002-12-26,82.23,82.28,82.19,54.801996760038,24800
2002-12-27,82.35,82.39,82.3,54.8686010341751,45600
2002-12-30,82.36,82.42,82.34,54.8752614615888,101400
2002-12-31,82.26,82.32,82.24,54.9146245876039,207600
2003-01-02,82.16,82.18,81.96,54.7078024077696,323800
2003-01-03,81.94,82.01,81.91,54.7144740909901,55100
2003-01-06,81.95,81.98,81.87,54.6811156748878,133000
2003-01-07,81.94,82.06,81.93,54.7211457742105,99900
2003-01-08,82.1,82.14,82.07,54.7678475567537,85000
2003-01-09,82.04,82.04,81.91,54.6677723084468,120500
2003-01-10,82.06,82.06,81.94,54.7411608238719,43700
2003-01-13,82.02,82.06,81.97,54.727817457431,71500
2003-01-14,82.1,82.11,82.04,54.7478325070924,40700
2003-01-15,82.1,82.17,82.09,54.7678475567537,199300
2003-01-16,82.09,82.14,82.02,54.801205972856,31300
2003-01-17,82.21,82.22,82.12,54.7878626064151,40300
2003-01-21,82.16,82.23,82.13,54.8545794386197,92800
2003-01-22,82.2,82.28,82.2,54.8946095379425,48100
2003-01-23,82.2,82.27,82.2,54.8612511218402,49700
2003-01-24,82.26,82.3,82.22,54.8545794386197,134500
2003-01-27,82.25,82.27,82.19,54.8545794386197,333200
2003-01-28,82.23,82.25,82.17,54.8679228050606,1039400
2003-01-29,82.23,82.25,82.17,54.8679228050606,27400
2003-01-30,82.16,82.27,82.15,54.887937854722,138300
2003-01-31,82.28,82.28,82.2,54.8745944882811,136600
2003-02-03,82.09,82.11,82.05,54.8423702583263,94800
2003-02-04,82.17,82.18,82.12,54.9025044362411,85700
2003-02-05,82.17,82.2,82.1,54.8824597102695,27300
2003-02-06,82.2,82.21,82.15,54.909186011565,66400
2003-02-07,82.16,82.26,82.12,54.9559570388321,70100
2003-02-10,82.24,82.25,82.15,54.9158675868888,60900
2003-02-11,82.13,82.23,82.13,54.9359123128605,59000
2003-02-12,82.24,82.3,82.23,54.9826833401276,77900
2003-02-13,82.3,82.38,82.27,55.0294543673946,63500
2003-02-14,82.29,82.33,82.25,54.9826833401276,152100
2003-02-18,82.24,82.27,82.19,54.9626386141559,155900
2003-02-19,82.28,82.33,82.25,54.9893649154514,76800
2003-02-20,82.28,82.36,82.28,55.0227727920708,50000
2003-02-21,82.31,82.36,82.27,54.9760017648037,76400
2003-02-24,82.34,82.35,82.29,55.0027280660992,103100
2003-02-25,82.38,82.42,82.34,55.0361359427185,84200
2003-02-26,82.4,82.41,82.36,55.062862244014,151800
2003-02-27,82.4,82.41,82.34,55.062862244014,57400
2003-02-28,82.37,82.45,82.33,55.0895885453095,57100
2003-03-03,82.27,82.37,82.27,55.1078960616969,47900
2003-03-04,82.33,82.41,82.33,55.1012057744489,51400
2003-03-05,82.44,82.48,82.4,55.1480377851848,60200
2003-03-06,82.47,82.47,82.38,55.1681086469288,69100
2003-03-07,82.58,82.58,82.48,55.2216309449127,149300
2003-03-10,82.55,82.63,82.55,55.2751532428966,64900
2003-03-11,82.59,82.6,82.53,55.2283212321607,75400
2003-03-12,82.48,82.54,82.46,55.1881795086728,59800
2003-03-13,82.36,82.39,82.24,55.020922327473,68100
2003-03-14,82.31,82.38,82.29,55.0744446254569,338700
2003-03-17,82.45,82.45,82.19,55.007541752977,133700
2003-03-18,82.22,82.29,82.13,54.9607097422411,126800
2003-03-19,82.2,82.2,82.12,54.9473291677451,62700
2003-03-20,82.18,82.25,82.12,55.014232040225,93200
2003-03-21,82.14,82.15,82.02,54.8737360080172,131400
2003-03-24,82.18,82.23,82.17,54.994161178481,54800
2003-03-25,82.27,82.27,82.12,54.994161178481,31000
2003-03-26,82.19,82.3,82.19,55.0610640509609,62600
2003-03-27,82.34,82.37,82.28,55.0744446254569,47700
2003-03-28,82.42,82.43,82.36,55.1480377851848,88700
2003-03-31,82.5,82.53,82.45,55.1881795086728,86900
2003-04-01,82.33,82.4,82.29,55.1764715059888,41300
2003-04-02,82.28,82.3,82.21,55.1161766731143,171700
2003-04-03,82.24,82.35,82.24,55.149673802489,298000
2003-04-04,82.35,82.38,82.29,55.1362749507391,71700
2003-04-07,82.17,82.25,82.14,55.1027778213645,83600
2003-04-08,82.24,82.33,82.24,55.156373228364,116800
2003-04-09,82.29,82.38,82.28,55.1898703577386,164800
2003-04-10,82.33,82.37,82.27,55.1161766731143,32100
2003-04-11,82.2,82.27,82.15,55.0893789696146,270100
2003-04-14,82.15,82.18,82.1,55.04248298849,261700
2003-04-15,82.19,82.25,82.15,55.0826795437396,91500
2003-04-16,82.16,82.25,82.16,55.0893789696146,101300
2003-04-17,82.27,82.28,82.15,55.04248298849,106800
2003-04-21,82.16,82.21,82.11,55.0759801178647,37800
2003-04-22,82.25,82.27,82.18,55.0692806919898,225400
2003-04-23,82.26,82.27,82.2,55.1094772472394,145700
2003-04-24,82.31,82.37,82.3,55.1630726542389,45300
2003-04-25,82.37,82.43,82.34,55.2166680612384,346200
2003-04-28,82.42,82.44,82.35,55.2032692094885,164700
2003-04-29,82.36,82.38,82.31,55.1630726542389,68200
2003-04-30,82.39,82.52,82.37,55.2769628941128,81600
2003-05-01,82.42,82.46,82.36,55.2771638768891,90700
2003-05-02,82.41,82.41,82.29,55.2167736760039,68400
2003-05-05,82.27,82.36,82.26,55.2570338099274,120700
2003-05-06,82.3,82.47,82.23,55.3375540777743,107400
2003-05-07,82.47,82.49,82.42,55.3509741224154,48200
2003-05-08,82.5,82.5,82.4,55.3241340331331,81900
2003-05-09,82.41,82.47,82.39,55.310713988492,213900
2003-05-12,82.47,82.52,82.43,55.3509741224154,94800
2003-05-13,82.47,82.47,82.41,55.3375540777743,62600
2003-05-14,82.5,82.56,82.47,55.3711041893771,50500
2003-05-15,82.44,82.52,82.44,55.3509741224154,107600
2003-05-16,82.53,82.6,82.49,55.4113643233006,50000
2003-05-19,82.67,82.67,82.6,55.4247843679417,68700
2003-05-20,82.57,82.71,82.57,55.498594613468,104800
2003-05-21,82.57,82.69,82.57,55.4247843679417,40400
2003-05-22,82.67,82.67,82.6,55.4449144349035,45500
2003-05-23,82.65,82.67,82.6,55.4650445018652,48400
2003-05-27,82.66,82.68,82.59,55.4449144349035,79100
2003-05-28,82.61,82.69,82.6,55.4784645465063,51200
2003-05-29,82.69,82.73,82.65,55.498594613468,57400
2003-05-30,82.68,82.69,82.62,55.4784645465063,191900
2003-06-02,82.54,82.57,82.5,55.4497456509743,100300
2003-06-03,82.6,82.73,82.57,55.5572454607908,52700
2003-06-04,82.78,82.78,82.71,55.6042766275855,104100
2003-06-05,82.75,82.8,82.67,55.5706829370178,96100
2003-06-06,82.62,82.7,82.6,55.5572454607908,156100
2003-06-09,82.77,82.8,82.72,55.6311515800396,105900
2003-06-10,82.85,82.89,82.8,55.6916202230614,49100
2003-06-11,82.88,82.88,82.81,55.6513077943802,147300
2003-06-12,82.85,82.92,82.81,55.6849014849479,208400
2003-06-13,82.92,82.98,82.87,55.7319326517426,115700
2003-06-16,82.93,82.94,82.82,55.6647452706073,141300
2003-06-17,82.8,82.8,82.71,55.5841204132449,163700
2003-06-18,82.73,82.8,82.71,55.5908391513584,106600
2003-06-19,82.81,82.87,82.76,55.6445890562667,145300
2003-06-20,82.8,82.84,82.77,55.6311515800396,87900
2003-06-23,82.85,82.88,82.81,55.6849014849479,84900
2003-06-24,82.92,82.95,82.87,55.7252139136291,211300
2003-06-25,83.03,83.04,82.72,55.610995365699,818400
2003-06-26,82.76,82.76,82.56,55.5102142939961,177200
2003-06-27,82.65,82.65,82.52,55.5236517702231,137300
2003-06-30,82.59,82.72,82.59,55.5706829370178,225300
2003-07-01,82.57,82.69,82.55,55.5720266846406,105900
2003-07-02,82.55,82.66,82.51,55.5989348200647,72100
2003-07-03,82.68,82.68,82.56,55.5383915153604,160900
2003-07-07,82.56,82.56,82.5,55.5249374476484,109500
2003-07-08,82.52,82.57,82.47,55.5047563460803,108700
2003-07-09,82.51,82.58,82.51,55.5182104137923,66600
2003-07-10,82.54,82.61,82.54,55.5652996507845,282900
2003-07-11,82.54,82.66,82.54,55.5854807523526,47700
2003-07-14,82.63,82.65,82.55,55.5383915153604,134100
2003-07-15,82.55,82.58,82.41,55.4711211768001,136700
2003-07-16,82.38,82.49,82.37,55.4778482106562,104100
2003-07-17,82.44,82.47,82.39,55.444213041376,84900
2003-07-18,82.45,82.47,82.38,55.43748600752,116000
2003-07-21,82.36,82.4,82.25,55.3433075335356,96000
2003-07-22,82.32,82.36,82.28,55.3971238043838,146900
2003-07-23,82.43,82.47,82.39,55.424031939808,221600
2003-07-24,82.34,82.42,82.34,55.4173049059519,111900
2003-07-25,82.38,82.47,82.38,55.444213041376,86500
2003-07-28,82.31,82.37,82.3,55.3702156689597,86400
2003-07-29,82.3,82.44,82.21,55.3231264319675,120500
2003-07-30,82.29,82.38,82.27,55.3500345673917,59000
2003-07-31,82.24,82.27,82.03,55.2894912626874,130700
2003-08-01,81.9,82.1,81.88,55.2302933647544,276500
2003-08-04,81.98,82.17,81.98,55.3178535859424,127300
2003-08-05,82.16,82.16,81.9,55.2168225614947,124500
2003-08-06,81.94,82.1,81.94,55.2707057745335,80000
2003-08-07,82.12,82.15,82.02,55.3313243892021,99100
2003-08-08,82.2,82.26,82.14,55.3447951924618,187100
2003-08-11,82.14,82.14,82.03,55.2707057745335,84800
2003-08-12,82.1,82.21,82.05,55.3650013973513,46100
2003-08-13,82.09,82.11,82.0,55.2572349712738,83200
2003-08-14,81.97,82.04,81.94,55.2437641680141,134600
2003-08-15,82.1,82.2,82.05,55.2841765777932,21100
2003-08-18,82.05,82.08,82.01,55.2774411761633,134100
2003-08-19,82.04,82.17,81.98,55.3447951924618,88900
2003-08-20,82.14,82.18,82.06,55.3043827826827,81200
2003-08-21,82.08,82.1,81.88,55.2235579631245,99200
2003-08-22,81.91,82.02,81.88,55.2100871598648,174500
2003-08-25,82.0,82.01,81.91,55.1831455533454,77100
2003-08-26,81.92,82.02,81.88,55.2437641680141,350400
2003-08-27,82.03,82.03,81.9,55.1898809549753,43300
2003-08-28,82.02,82.11,81.99,55.2707057745335,91000
2003-08-29,82.07,82.07,81.99,55.2639703729036,156800
2003-09-02,81.86,81.91,81.82,55.1921709915294,378800
2003-09-03,81.85,81.9,81.83,55.2326344599983,117700
2003-09-04,81.94,82.05,81.92,55.3068174855245,79900
2003-09-05,82.22,82.3,82.15,55.4956470050459,66800
2003-09-08,82.23,82.4,82.19,55.4282078909311,194400
2003-09-09,82.28,82.33,82.2,55.5226226506918,102100
2003-09-10,82.35,82.42,82.31,55.5563422077492,91000
2003-09-11,82.32,82.36,82.3,55.5158787392803,75800
2003-09-12,82.45,82.49,82.37,55.5630861191607,222200
2003-09-15,82.4,82.48,82.35,55.6170374104525,66200
2003-09-16,82.5,82.5,82.39,55.623781321864,102200
2003-09-17,82.47,82.53,82.42,55.6170374104525,86400
2003-09-18,82.45,82.45,82.35,55.5630861191607,192800
2003-09-19,82.38,82.41,82.32,55.5630861191607,59500
2003-09-22,82.37,82.43,82.29,55.5833178533951,86700
2003-09-23,82.39,82.44,82.34,55.5968056762181,265000
2003-09-24,82.41,82.51,82.37,55.6305252332754,62400
2003-09-25,82.49,82.53,82.45,55.6372691446869,103100
2003-09-26,82.52,82.6,82.48,55.7047082588017,76100
2003-09-29,82.59,82.61,82.53,55.6777326131558,159300
2003-09-30,82.62,82.73,82.58,55.7923791071509,92900
2003-10-01,82.62,82.68,82.6,55.8009438746435,115000
2003-10-02,82.55,82.66,82.53,55.8009438746435,93500
2003-10-03,82.44,82.47,82.38,55.6591628920219,134300
2003-10-06,82.38,82.51,82.38,55.6996717441995,98900
2003-10-07,82.5,82.5,82.4,55.645659941296,171400
2003-10-08,82.4,82.49,82.4,55.645659941296,71900
2003-10-09,82.36,82.41,82.35,55.6389084659331,143600
2003-10-10,82.48,82.49,82.41,55.6726658427477,212200
2003-10-13,82.45,82.47,82.4,55.6794173181107,165500
2003-10-14,82.37,82.42,82.34,55.6254055152072,59900
2003-10-15,82.3,82.32,82.26,55.5578907615779,82300
2003-10-16,82.33,82.34,82.07,55.4296127296821,121800
