Date,Open,High,Low,Close,Volume
1999-11-01,136.5,137.0,135.5625,85.8606847176409,4006500
1999-11-02,135.968704,137.25,134.593704,85.2470822249773,6516900
1999-11-03,136.0,136.375,135.125,85.8210993397167,7222300
1999-11-04,136.75,137.359299,135.765594,86.4742289406283,7907500
1999-11-05,138.625,139.109299,136.781204,87.3253437008372,7431500
1999-11-08,137.0,138.375,136.75,87.4045144566857,4649200
1999-11-09,138.5,138.6875,136.281204,86.5830982304106,4533700
1999-11-10,136.25,138.390594,136.078094,87.2263511211885,6405600
1999-11-11,138.1875,138.5,137.468704,87.7211974800795,4794100
1999-11-12,139.25,139.984299,137.125,88.5129050385639,11802900
1999-11-15,139.843704,140.25,139.406204,88.7207086383186,2187500
1999-11-16,140.5625,143.0,140.093704,89.4629541087453,7544800
1999-11-17,142.25,142.9375,141.3125,89.7004663762906,9459000
1999-11-18,142.4375,143.0,141.625,90.3338324230782,4491000
1999-11-19,142.406204,142.968704,142.0,90.2546616672298,4832100
1999-11-22,142.4375,143.0,141.5,90.2348398434295,4155400
1999-11-23,142.843704,142.843704,140.375,89.443132284945,5918000
1999-11-24,140.75,142.4375,140.0,89.9181568200357,4459700
1999-11-26,142.468704,142.875,141.25,89.581710242518,1693900
1999-11-29,140.875,141.921799,140.4375,89.2650272191242,7348600
1999-11-30,140.75,142.3125,139.0,88.2159855692941,7682000
1999-12-01,139.3125,140.5,139.0,88.9285223719301,6980200
1999-12-02,140.625,141.375,140.375,89.4629541087453,6698300
1999-12-03,143.031204,145.343704,143.031204,91.1057181577624,10045400
1999-12-06,143.531204,143.718704,142.25,90.4327667330506,3138900
1999-12-07,143.281204,143.3125,141.375,89.7004663762906,10714200
1999-12-08,141.343704,142.0625,140.5,89.1264492615512,4611400
1999-12-09,141.8125,142.218704,139.375,89.5618884187177,6474700
1999-12-10,142.281204,142.8125,140.875,89.8588078879875,5127300
1999-12-13,141.4375,142.718704,141.281204,90.0171493996844,4210800
1999-12-14,141.625,142.484299,140.625,89.1462710853515,5739000
1999-12-15,140.375,142.203094,140.031204,89.6212956204422,6879100
1999-12-16,142.1875,142.656204,141.156204,90.0171493996844,5854900
1999-12-17,143.0,143.3125,142.0625,90.5935454372956,4775400
1999-12-20,142.5625,143.1875,141.093704,89.9387665601318,4608700
1999-12-21,141.593704,144.0625,141.343704,91.3078178060522,7981300
1999-12-22,143.625,144.1875,142.968704,91.5459085956377,5377500
1999-12-23,145.015594,146.484299,145.0,93.0041664287824,5721700
1999-12-27,146.5,146.781204,145.0625,92.8752196316867,2691000
1999-12-28,145.875,146.5,145.484299,92.8157261400939,4084500
1999-12-29,146.3125,146.8125,145.3125,93.2125441227364,3001000
1999-12-30,147.125,147.5625,146.1875,93.1033994953378,3641300
1999-12-31,146.843704,147.5,146.25,93.2522259210007,3172700
2000-01-03,148.25,148.25,143.875,92.3395445609228,8164300
2000-01-04,143.531204,144.0625,139.640594,88.7285009188755,8089800
2000-01-05,139.9375,141.531204,137.25,88.8872281119326,12177900
2000-01-06,139.625,141.5,137.75,87.4586833744194,6227200
2000-01-07,140.3125,145.75,140.0625,92.5379535522441,8066500
2000-01-10,146.25,146.906204,145.031204,92.8554079383581,5741700
2000-01-11,145.8125,146.093704,143.5,91.744317586959,7503700
2000-01-12,144.593704,144.593704,142.875,90.8316362268811,6907700
2000-01-13,144.468704,145.75,143.281204,92.061771973073,5158300
2000-01-14,146.531204,147.468704,145.968704,93.3117194125935,7437300
2000-01-18,145.343704,146.625,145.1875,92.5776353505083,6488500
2000-01-19,145.3125,147.0,145.0,93.3315895175292,6157900
2000-01-20,146.968704,146.968704,143.8125,91.903044780016,5800100
2000-01-21,145.5,145.5,144.0625,91.7046357886947,6244800
2000-01-24,145.656204,145.843704,139.406204,89.1054487965825,7896900
2000-01-25,140.515594,141.9375,139.0,90.1173638581245,9942500
2000-01-26,141.0,141.546799,140.093704,89.4030914893679,5158100
2000-01-27,141.843704,142.218704,138.125,89.0459553049896,10922700
2000-01-28,139.4375,140.0625,135.531204,86.2682294264917,11916200
2000-01-31,135.8125,139.671799,135.0,88.6094555240828,10768700
2000-02-01,139.75,141.6875,138.531204,89.4824550858964,8419900
2000-02-02,141.281204,142.25,140.375,89.5618186824249,6205900
2000-02-03,140.875,143.25,140.0,90.9109998234096,7997500
2000-02-04,143.1875,144.0,142.125,90.5339935340957,4925400
2000-02-07,142.5625,142.781204,141.4375,90.3951364459743,5845800
2000-02-08,143.968704,144.5625,143.625,91.6252721921662,4936400
2000-02-09,144.468704,144.468704,141.265594,89.7006757705463,8511500
2000-02-10,141.625,142.5625,140.875,89.879273068539,6690600
2000-02-11,141.843704,141.9375,138.031204,88.0539103483832,9849800
2000-02-14,139.781204,139.781204,138.3125,88.5697737258185,8528800
2000-02-15,139.25,141.218704,137.796799,89.571719449819,11078300
2000-02-16,140.375,140.9375,138.796799,88.2523193397045,8845400
2000-02-17,140.4375,140.4375,138.218704,87.795949453862,7584200
2000-02-18,138.875,138.875,134.625,85.9110932421134,9409200
2000-02-22,135.1875,136.343704,133.531204,85.6928141458565,16415400
2000-02-23,135.625,137.468704,134.5,86.7047292073985,12119000
