Date,Open,High,Low,Close,Volume
2008-12-30,50.63,52.98,50.09,0.233489367681531,21700
2008-12-31,52.5,55.75,52.5,0.241589567546123,10000
2009-01-02,54.57,61.14,53.93,0.270626349574385,10100
2009-01-05,60.69,63.25,59.34,0.272706728774581,34700
2009-01-06,64.13,68.84,63.82,0.296830274819403,33000
2009-01-07,63.84,63.84,58.91,0.26558032342923,31900
2009-01-08,59.26,60.96,57.7,0.269696818442383,31400
2009-01-09,60.3,60.3,56.38,0.251814409998148,31600
2009-01-12,57.03,57.03,52.76,0.242253518354696,23500
2009-01-13,53.76,55.92,51.83,0.236809121724397,65600
2009-01-14,51.4,51.4,47.24,0.213703633586054,23800
2009-01-15,47.55,50.13,44.75,0.217952918760921,61200
2009-01-16,52.38,52.79,47.38,0.225787538302084,63800
2009-01-20,50.1,50.42,43.1,0.191085042707331,100200
2009-01-21,45.06,49.57,44.36,0.219369347152544,57000
2009-01-22,45.72,48.8,43.95,0.207860866470611,56400
2009-01-23,44.86,51.12,44.0,0.217643075050254,39700
2009-01-26,49.5,52.76,48.99,0.223087471680553,31400
2009-01-27,50.78,53.37,50.78,0.232161466064385,29700
2009-01-28,55.44,59.03,54.87,0.255266954202728,101900
2009-01-29,54.83,55.42,51.89,0.23154177864305,84400
2009-01-30,52.67,54.0,47.5,0.212198678419955,89800
2009-02-02,45.74,50.79,45.74,0.219103766829115,58100
2009-02-03,49.85,52.54,47.14,0.229904033315237,57400
2009-02-04,53.0,56.78,52.08,0.234595952362486,86300
2009-02-05,50.61,57.53,50.0,0.248052022082901,89100
2009-02-06,57.01,63.1,56.42,0.274875634749253,107100
2009-02-09,62.37,63.52,60.68,0.278062598630404,118200
2009-02-10,61.39,63.44,53.92,0.244333897554892,233900
2009-02-11,56.01,56.36,53.0,0.245529009010323,60200
2009-02-12,54.1,56.6,51.19,0.25053077176824,73100
2009-02-13,56.14,58.34,55.73,0.247963495308424,70200
2009-02-17,51.73,51.73,48.44,0.215474169075582,115200
2009-02-18,49.95,51.05,47.22,0.216359436820346,125400
2009-02-19,49.0,49.6,44.0,0.196617966112107,74600
2009-02-20,42.38,45.63,42.31,0.196795019661059,88000
2009-02-23,45.41,45.41,38.43,0.171918996033188,122800
2009-02-24,39.24,43.11,38.82,0.18665870398351,84100
2009-02-25,41.97,44.78,39.32,0.188030868987895,74900
2009-02-26,44.08,45.51,41.0,0.181701204612831,94400
2009-02-27,41.76,42.78,38.0,0.180107722672256,123500
2009-03-02,38.8,41.09,36.49,0.163774532781358,92400
2009-03-03,38.15,39.01,36.0,0.164261430040979,104000
2009-03-04,38.42,41.56,38.32,0.176345334757009,129500
2009-03-05,38.3,39.69,35.61,0.159038350346871,191300
2009-03-06,35.88,37.67,32.49,0.154744801784765,142200
2009-03-09,34.03,36.66,31.86,0.142882214004926,158600
2009-03-10,34.33,39.04,34.0,0.172317366518332,182900
2009-03-11,40.45,42.99,39.0,0.185596382689794,152400
2009-03-12,42.5,45.62,40.68,0.200557407576307,180900
2009-03-13,45.38,46.17,43.16,0.198521291763349,134500
2009-03-16,45.89,46.39,42.59,0.189801404477423,199600
2009-03-17,43.82,47.5,42.9,0.210206825994235,133800
2009-03-18,46.99,52.0,46.3,0.219989034573879,235000
2009-03-19,52.52,52.68,49.66,0.223707159101888,127000
2009-03-20,50.88,53.0,47.08,0.212110151645478,180800
2009-03-23,53.88,56.81,50.4,0.251150459189575,204300
2009-03-24,55.0,57.25,54.0,0.24131956088397,178200
2009-03-25,55.41,58.18,50.95,0.24078821506184,224900
2009-03-26,57.27,60.93,56.45,0.269569447093873,313800
2009-03-27,58.72,58.72,55.69,0.249068354123363,328700
2009-03-30,52.33,52.65,48.99,0.227061781323486,260000
2009-03-31,53.36,57.18,52.94,0.238485716499277,247600
2009-04-01,51.61,58.6,51.51,0.256817147362757,243500
2009-04-02,61.42,67.15,61.17,0.280506315266046,428700
