Date,Open,High,Low,Close,Volume
2002-07-26,82.67,82.8,82.42,38.1247074076269,316300
2002-07-29,82.06,82.16,81.32,37.621060200327,8400
2002-07-30,81.75,81.9,81.52,37.6672663661343,6100
2002-07-31,81.95,82.8,81.9,38.1339486407884,29400
2002-08-01,82.54,83.02,82.54,38.3511176200828,25000
2002-08-02,83.16,84.1,82.88,38.7438700294451,52800
2002-08-05,84.04,84.44,83.85,38.9148328429322,61100
2002-08-06,83.8,83.9,83.22,38.5821484491195,64900
2002-08-07,83.6,84.14,83.36,38.6745607807341,40300
2002-08-08,83.58,83.77,83.36,38.6745607807341,40900
2002-08-09,84.0,84.88,84.0,39.2197935372606,35900
2002-08-12,85.3,86.7,85.14,39.4600655994587,32100
2002-08-13,85.78,86.47,85.37,39.9452303404357,75400
2002-08-14,87.46,87.9,86.75,40.0977106875998,130000
2002-08-15,86.38,86.5,85.85,39.7465438274641,87100
2002-08-16,86.44,86.52,84.82,39.3029646357138,85000
2002-08-19,85.05,85.34,84.71,39.4231006668128,47300
2002-08-20,85.62,86.29,85.6,39.8620592419825,40800
2002-08-21,85.68,86.1,85.63,39.6495108792688,40000
2002-08-22,85.55,85.55,85.06,39.3029646357138,34400
2002-08-23,85.2,85.95,85.2,39.6910964284953,20100
2002-08-26,85.7,86.21,85.67,39.7280613611412,23900
2002-08-27,85.4,85.68,85.2,39.4785480657816,301800
2002-08-28,86.04,86.18,85.84,39.6772345787532,18100
2002-08-29,86.76,86.86,86.35,39.9960571228237,135700
2002-08-30,86.75,87.13,86.45,40.2363291850218,78100
2002-09-03,87.08,88.04,87.0,40.8520725505703,102100
2002-09-04,88.03,88.3,87.84,40.842792206965,66300
2002-09-05,88.57,88.65,87.38,41.0655204534924,648400
2002-09-06,87.97,88.19,87.2,40.5829425860163,140000
2002-09-09,87.5,87.83,87.26,40.5226203525818,83800
2002-09-10,87.17,88.0,87.0,40.7175075682933,336000
2002-09-11,87.0,87.3,86.75,40.5040596653712,177700
2002-09-12,87.48,88.14,87.47,40.8195913479517,43400
2002-09-13,88.33,88.94,88.18,41.1954452639667,155100
2002-09-16,89.2,89.22,88.9,41.2650478410066,73000
2002-09-17,88.64,89.32,88.36,41.3439307616517,75400
2002-09-18,89.46,89.56,89.02,41.353211105257,196600
2002-09-19,89.7,89.77,89.26,41.6316214134163,109900
2002-09-20,89.45,89.52,89.06,41.4367341977048,113500
2002-09-23,90.0,90.24,89.77,41.8079479419171,163200
2002-09-24,90.3,90.94,90.21,42.0770779064711,251900
2002-09-25,90.1,90.36,89.26,41.5666590081791,127200
2002-09-26,89.05,89.53,88.61,41.4692154003233,429000
2002-09-27,89.53,90.04,89.48,41.7801069111012,298200
2002-09-30,90.66,90.9,90.08,41.9471530959968,297800
2002-10-01,89.16,89.3,88.8,41.4287067004862,257500
2002-10-02,89.24,89.48,88.84,41.666267307831,91000
2002-10-03,89.3,89.51,88.8,41.563790183094,29900
2002-10-04,88.4,89.72,88.4,41.6942156145774,131000
2002-10-07,89.9,89.96,89.46,41.7640863814436,433800
2002-10-08,89.5,90.52,89.32,41.7780605348168,530900
2002-10-09,90.3,90.38,89.95,41.9923308865396,402900
2002-10-10,90.17,90.17,89.28,41.6616092567066,97100
2002-10-11,89.1,89.22,88.06,41.1678558375193,421800
2002-10-14,88.5,88.55,88.07,41.107301172902,18300
2002-10-15,87.0,87.3,86.15,40.1337684879007,297100
