Date,Open,High,Low,Close,Volume
2011-10-04,40.77,41.13,34.57,103710000000.0,11420
2011-10-05,33.17,33.42,30.47,91409999999.9998,3400
2011-10-06,30.43,31.55,29.23,87689999999.9998,34458
2011-10-07,28.66,31.21,28.3,88979999999.9998,13601
2011-10-10,27.8,27.82,26.2,78599999999.9998,28700
2011-10-11,26.38,26.42,25.05,75899999999.9998,12700
2011-10-12,23.43,23.43,20.98,64889999999.9998,22720
2011-10-13,22.38,23.56,21.78,65339999999.9998,8220
2011-10-14,19.72,20.86,19.29,58919999999.9999,14200
2011-10-17,19.44,23.44,19.44,70319999999.9998,43504
2011-10-18,23.26,24.82,20.01,65609999999.9998,54460
2011-10-19,21.17,24.92,20.76,72899999999.9998,33722
2011-10-20,24.62,26.34,23.99,73019999999.9998,39968
2011-10-21,22.72,23.54,21.87,65609999999.9998,34547
2011-10-24,21.34,21.34,19.12,57629999999.9999,49852
2011-10-25,19.73,22.02,19.73,65159999999.9998,51669
2011-10-26,19.99,23.09,19.78,59999999999.9999,38376
2011-10-27,15.86,16.66,14.38,44009999999.9999,149163
2011-10-28,15.2,15.43,14.22,43199999999.9999,74675
2011-10-31,15.77,17.47,15.51,52409999999.9999,162072
2011-11-01,22.78,23.67,21.2,67769999999.9998,240000
2011-11-02,20.97,22.71,20.7,63599999999.9998,168795
2011-11-03,19.97,22.54,19.02,57599999999.9999,227186
2011-11-04,20.18,21.36,19.36,59789999999.9999,107320
2011-11-07,20.15,21.17,19.56,58709999999.9999,137688
2011-11-08,19.03,20.1,17.64,53159999999.9999,133574
2011-11-09,20.37,24.54,20.11,72839999999.9998,240000
2011-11-10,21.42,23.94,21.07,63629999999.9998,240000
2011-11-11,19.64,19.67,18.95,58319999999.9999,119215
2011-11-14,20.02,21.15,19.94,61109999999.9999,73630
2011-11-15,21.11,21.49,19.65,59939999999.9999,193333
2011-11-16,21.23,22.19,19.76,65729999999.9998,480000
2011-11-17,22.25,24.85,21.85,71999999999.9998,240000
2011-11-18,22.63,23.97,22.36,67079999999.9998,240000
2011-11-21,24.74,24.81,22.64,68729999999.9998,240000
2011-11-22,23.15,23.61,21.83,65849999999.9998,180458
2011-11-23,23.0,24.03,22.69,71789999999.9998,240000
2011-11-25,24.09,24.72,23.16,73619999999.9998,113513
2011-11-28,21.28,22.68,20.91,66629999999.9998,199661
2011-11-29,21.78,22.22,20.84,63809999999.9998,184462
2011-11-30,18.41,18.72,17.41,52499999999.9999,209815
2011-12-01,17.64,17.72,16.47,50099999999.9999,79708
2011-12-02,15.73,16.68,15.19,49799999999.9999,240000
2011-12-05,15.24,16.9,15.2,49649999999.9999,227157
2011-12-06,16.55,16.76,15.98,49199999999.9999,225102
2011-12-07,16.88,18.19,16.87,52319999999.9999,240000
2011-12-08,18.41,19.31,18.14,57149999999.9999,240000
2011-12-09,18.53,18.57,16.34,49229999999.9999,183914
2011-12-12,17.0,17.64,16.45,49349999999.9999,135359
2011-12-13,15.8,16.96,15.1,48959999999.9999,240000
2011-12-14,16.27,17.08,15.86,49139999999.9999,240000
2011-12-15,15.24,15.57,14.77,45479999999.9999,240000
2011-12-16,14.16,15.36,14.16,44969999999.9999,240000
2011-12-19,14.67,14.92,14.06,43979999999.9999,240000
2011-12-20,13.38,13.38,12.85,38579999999.9999,240000
2011-12-21,12.61,12.98,11.13,33509999999.9999,240000
2011-12-22,10.67,11.39,10.25,33479999999.9999,194081
2011-12-23,10.85,11.91,10.82,35069999999.9999,176887
2011-12-27,11.59,11.67,11.25,34679999999.9999,102153
2011-12-28,11.42,12.55,11.42,37439999999.9999,218698
2011-12-29,12.32,12.34,11.84,35639999999.9999,130379
2011-12-30,11.88,12.27,11.79,36779999999.9999,111246
2012-01-03,11.13,11.26,10.84,32909999999.9999,232652
2012-01-04,11.28,11.46,10.51,31619999999.9999,240000
2012-01-05,10.83,11.04,10.03,30179999999.9999,240000
2012-01-06,9.89,10.28,9.54,29219999999.9999,240000
2012-01-09,9.56,9.72,9.34,28319999999.9999,223222
2012-01-10,8.87,9.15,8.7,27149999999.9999,240000
2012-01-11,9.2,9.39,9.15,27929999999.9999,240000
2012-01-12,9.24,9.92,9.05,27209999999.9999,240000
2012-01-13,9.52,10.1,9.48,28679999999.9999,720000
2012-01-17,8.94,9.52,8.65,28229999999.9999,480000
2012-01-18,9.29,9.51,8.71,26249999999.9999,480000
2012-01-19,8.5,8.68,8.23,24779999999.9999,720000
2012-01-20,8.34,8.41,7.72,23309999999.9999,720000
2012-01-23,7.73,7.82,7.26,22079999999.9999,720000
2012-01-24,7.72,7.78,7.34,22229999999.9999,720000
2012-01-25,7.41,7.6,6.74,20370000000.0,1200000
2012-01-26,6.5,7.0,6.46,20370000000.0,720000
2012-01-27,6.99,7.03,6.44,19530000000.0,720000
2012-01-30,6.99,7.08,6.71,20670000000.0,720000
2012-01-31,6.58,7.03,6.53,20640000000.0,480000
2012-02-01,6.6,6.7,6.33,19560000000.0,480000
