Date,Open,High,Low,Close,Volume
1999-11-01,25.5,25.67,25.19,12.3572231725865,374100
1999-11-02,25.19,25.75,25.14,12.3425413232725,428500
1999-11-03,25.25,25.41,25.03,12.288707875788,52000
1999-11-04,25.56,25.7,25.33,12.4355263689276,549200
1999-11-05,26.09,26.38,25.91,12.7389512547496,332600
1999-11-08,25.97,26.0,25.75,12.6704359579511,583300
1999-11-09,26.0,26.0,25.25,12.425738469385,111900
1999-11-10,25.08,25.33,24.95,12.2348744283035,90100
1999-11-11,24.78,24.97,24.64,12.166359131505,173900
1999-11-12,25.41,25.97,24.72,12.6949057068077,520600
1999-11-15,25.88,26.0,25.73,12.685117807265,146200
1999-11-16,26.11,26.78,26.08,13.0325882410289,513900
1999-11-17,26.44,26.52,25.94,12.7536331040635,343500
1999-11-18,26.2,26.2,25.66,12.714481505893,160500
1999-11-19,25.98,26.0,25.56,12.5236174648114,195000
1999-11-22,25.5,25.5,25.28,12.4795719168695,176000
1999-11-23,25.31,25.31,24.81,12.2789199762454,172200
1999-11-24,24.81,24.88,24.64,12.136995432877,103800
1999-11-26,24.97,24.97,24.63,12.0537982867646,73800
1999-11-29,24.28,24.31,24.03,11.7601613004853,777200
1999-11-30,24.03,24.75,24.03,11.9608132411095,115300
1999-12-01,24.19,24.56,24.19,11.8678281954544,515800
1999-12-02,24.48,24.56,24.13,11.9216616429389,99300
1999-12-03,25.03,25.41,24.94,12.2055107296755,1195300
1999-12-06,24.81,24.81,24.16,11.877616094997,230500
1999-12-07,24.19,24.22,23.94,11.8531463461404,1032400
1999-12-08,24.16,24.16,23.64,11.5692972594038,594900
1999-12-09,23.91,24.03,23.61,11.7356915516287,116700
1999-12-10,24.34,24.55,24.14,11.9461313917955,600700
1999-12-13,24.09,24.28,23.98,11.8091007981985,298600
1999-12-14,23.78,24.0,23.52,11.5252517114619,357900
1999-12-15,23.52,23.63,23.38,11.4909940630626,363700
1999-12-16,23.22,23.34,22.81,11.2414026247252,397500
1999-12-17,22.94,23.27,22.94,11.3264805157348,1315400
1999-12-20,23.16,23.23,22.72,11.2380691326978,972700
1999-12-21,22.88,23.66,22.81,11.4492741032861,1278200
1999-12-22,23.41,23.47,23.16,11.4492741032861,1113600
