,date,allocation,triggered_condition,portfolio_return,metrics,cumulative_return
0,2023-01-31,"{'SPY': 0.8, 'QQQ': 0.2}",momentum_allocation,0.0,{'SPY_cumulative_return_90d': 0.06738091486791513},0.0
1,2023-02-28,"{'SPY': 0.9, 'TLT': 0.1}",base_allocation,-0.0032153358928653053,{'SPY_cumulative_return_90d': 0.040544089070950556},-0.0032153358928652676
2,2023-03-31,"{'SPY': 0.8, 'QQQ': 0.2}",momentum_allocation,0.014183253852248907,{'SPY_cumulative_return_90d': 0.07917422907153901},0.010922314034194747
3,2023-04-30,"{'SPY': 0.8, 'QQQ': 0.2}",momentum_allocation,0.008207897354635951,{'SPY_cumulative_return_90d': 0.09641402354167089},0.019219860621298546
4,2023-05-31,"{'SPY': 0.9, 'TLT': 0.1}",base_allocation,-0.005573401852538758,{'SPY_cumulative_return_90d': 0.04701046799648261},0.013539338761967556
5,2023-06-30,"{'SPY': 0.8, 'QQQ': 0.2}",momentum_allocation,0.011800097490626186,{'SPY_cumulative_return_90d': 0.12071814537709949},0.02549920176994358
6,2023-07-31,"{'SPY': 0.8, 'QQQ': 0.2}",momentum_allocation,0.0016275504977292783,{'SPY_cumulative_return_90d': 0.17185663142389287},0.02716825350620522
7,2023-08-31,"{'SPY': 0.8, 'QQQ': 0.2}",momentum_allocation,-0.000571013555931054,{'SPY_cumulative_return_90d': 0.11315249805407514},0.026581726509231185
8,2023-09-30,"{'SPY': 0.9, 'TLT': 0.1}",base_allocation,-0.0017963189818313973,{'SPY_cumulative_return_90d': 0.0398846247003754},0.024737658267501406
9,2023-10-31,"{'SPY': 0.9, 'TLT': 0.1}",base_allocation,0.005164051946901945,{'SPY_cumulative_return_90d': -0.027226745535530818},0.030029456766741403
10,2023-11-30,"{'SPY': 0.9, 'TLT': 0.1}",base_allocation,0.0023885634689189113,{'SPY_cumulative_return_90d': 0.00553159323893765},0.03248974749908484
11,2023-12-31,"{'SPY': 0.8, 'QQQ': 0.2}",momentum_allocation,-0.0035074512308620586,{'SPY_cumulative_return_90d': 0.08106555170005773},0.028868340063366693
12,2024-01-31,"{'SPY': 0.8, 'QQQ': 0.2}",momentum_allocation,-0.01697107587572256,{'SPY_cumulative_return_90d': 0.12643720813680465},0.011407337398022577
13,2024-02-29,"{'SPY': 0.8, 'QQQ': 0.2}",momentum_allocation,0.004589871314916613,{'SPY_cumulative_return_90d': 0.21119553402802957},0.01604956692364201
14,2024-03-31,"{'SPY': 0.8, 'QQQ': 0.2}",momentum_allocation,-0.0005215941367319323,{'SPY_cumulative_return_90d': 0.16869790284097677},0.015519601426905671
15,2024-04-30,"{'SPY': 0.8, 'QQQ': 0.2}",momentum_allocation,-0.016444249363125992,{'SPY_cumulative_return_90d': 0.07536492396020845},-0.0011798561321005874
16,2024-05-31,"{'SPY': 0.8, 'QQQ': 0.2}",momentum_allocation,0.006914452455108376,{'SPY_cumulative_return_90d': 0.089886088741069},0.0057264382638784195
17,2024-06-30,"{'SPY': 0.8, 'QQQ': 0.2}",momentum_allocation,-0.004186234279404772,{'SPY_cumulative_return_90d': 0.10151869182726976},0.0015162317723145247
18,2024-07-31,"{'SPY': 0.8, 'QQQ': 0.2}",momentum_allocation,0.018922427606021863,{'SPY_cumulative_return_90d': 0.06020486170646753},0.020467350164281806
19,2024-08-31,"{'SPY': 0.8, 'QQQ': 0.2}",momentum_allocation,0.010020673418898687,{'SPY_cumulative_return_90d': 0.11889545544680764},0.030693120214927205
20,2024-09-30,"{'SPY': 0.8, 'QQQ': 0.2}",momentum_allocation,0.003748140463206915,{'SPY_cumulative_return_90d': 0.08974891056554077},0.03455630280395372
21,2024-10-31,"{'SPY': 0.9, 'TLT': 0.1}",base_allocation,-0.020731039745915662,{'SPY_cumulative_return_90d': 0.045602700204800235},0.01310887497113744
22,2024-11-30,"{'SPY': 0.8, 'QQQ': 0.2}",momentum_allocation,0.006623049340363878,{'SPY_cumulative_return_90d': 0.1225662461173062},0.0198187450372318
23,2024-12-31,"{'SPY': 0.9, 'TLT': 0.1}",base_allocation,-0.004609434187523877,{'SPY_cumulative_return_90d': 0.04928571145238929},0.015117957648779434
24,2025-01-31,"{'SPY': 0.8, 'QQQ': 0.2}",momentum_allocation,-0.005446320188208651,{'SPY_cumulative_return_90d': 0.059948786640026036},0.00958930022262372
25,2025-02-28,"{'SPY': 0.9, 'TLT': 0.1}",base_allocation,0.01564269756343261,{'SPY_cumulative_return_90d': 0.019784160895695964},0.025382000309283725
26,2025-03-31,"{'SPY': 0.9, 'TLT': 0.1}",base_allocation,0.00702881721116395,{'SPY_cumulative_return_90d': -0.042867860482542805},0.03258922296107536
27,2025-04-30,"{'SPY': 0.9, 'TLT': 0.1}",base_allocation,-0.0004521182382347773,{'SPY_cumulative_return_90d': -0.04813994596029985},0.03212237054077005
